country,district,year,temperature in (K)
Serbia,Macvanski okrug,1992,285.34950764973956
Serbia,Pirotski okrug,1992,281.8794937133789
Serbia,Kolubarski okrug,1992,285.9432118733724
Serbia,Branicevski okrug,1992,284.1534996032715
Serbia,Sumadijski okrug,1992,284.6900405883789
Serbia,Juznobanatski okrug,1992,285.39904022216797
Serbia,Juznobacki okrug,1992,285.6261978149414
Serbia,Severnobacki okrug,1992,285.3099085489909
Serbia,Pcinjski okrug,1992,281.80841700236004
Serbia,Zlatiborski okrug,1992,282.5369618733724
Serbia,Kosovski okrug,1992,283.41695912679035
Serbia,Toplicki okrug,1992,282.91773986816406
Serbia,Rasinski okrug,1992,283.84193166097003
Serbia,Prizrenski okrug,1992,282.76673380533856
Serbia,Zajecarski,1992,283.7259801228841
Serbia,Sremski,1993,284.6714350382487
Serbia,Moravicki okrug,1993,281.44211832682294
Serbia,Nisavski okrug,1993,283.46887461344403
Serbia,Jablanicki okrug,1993,283.9191614786784
Serbia,Raski okrug,1993,282.1174087524414
Serbia,Srednjebanatski okrug,1993,284.5262959798177
Serbia,Borski okrug,1993,282.4735056559245
Serbia,Grad Beograd,1993,284.49487050374347
Serbia,Pomoravski okrug,1993,283.4450912475586
Serbia,Severnobanatski okrug,1993,284.3094940185547
Serbia,Kosovskomitrovicki okrug,1993,281.62696584065753
Serbia,Macvanski okrug,1993,284.57984670003253
Serbia,Pirotski okrug,1993,281.8131866455078
Serbia,Kolubarski okrug,1993,285.125727335612
Serbia,Branicevski okrug,1993,283.3653157552083
Serbia,Sumadijski okrug,1993,284.1372578938802
Serbia,Juznobanatski okrug,1993,284.493111928304
Serbia,Juznobacki okrug,1993,284.59393310546875
Serbia,Severnobacki okrug,1993,284.1859614054362
Serbia,Pcinjski okrug,1993,281.8803990681966
Serbia,Zlatiborski okrug,1993,282.28636932373047
Serbia,Kosovski okrug,1993,283.3027521769206
Serbia,Toplicki okrug,1993,282.7551523844401
Serbia,Rasinski okrug,1993,283.4418589274089
Serbia,Prizrenski okrug,1993,282.7222429911296
Serbia,Zajecarski,1993,283.28243764241535
Serbia,Sremski,1994,286.18710708618164
Serbia,Moravicki okrug,1994,282.4275207519531
Serbia,Nisavski okrug,1994,284.8375600179036
Serbia,Jablanicki okrug,1994,285.0708999633789
Serbia,Raski okrug,1994,283.2181091308594
Serbia,Srednjebanatski okrug,1994,286.05496978759766
Serbia,Borski okrug,1994,284.06710561116535
Serbia,Grad Beograd,1994,285.98103586832684
Serbia,Pomoravski okrug,1994,284.9705301920573
Serbia,Severnobanatski okrug,1994,285.80025990804035
Serbia,Kosovskomitrovicki okrug,1994,282.5840555826823
Serbia,Macvanski okrug,1994,285.9576136271159
Serbia,Pirotski okrug,1994,282.9663772583008
Serbia,Kolubarski okrug,1994,286.54419708251953
Serbia,Branicevski okrug,1994,284.9793650309245
Serbia,Sumadijski okrug,1994,285.50145212809247
Serbia,Juznobanatski okrug,1994,286.04250717163086
Serbia,Juznobacki okrug,1994,286.09912872314453
Serbia,Severnobacki okrug,1994,285.6838912963867
Serbia,Pcinjski okrug,1994,282.96381123860675
Serbia,Zlatiborski okrug,1994,283.4041748046875
Serbia,Kosovski okrug,1994,284.2953847249349
Serbia,Toplicki okrug,1994,283.8320795694987
Serbia,Rasinski okrug,1994,284.73720296223956
Serbia,Prizrenski okrug,1994,283.6027234395345
Serbia,Zajecarski,1994,284.6149673461914
Serbia,Sremski,1995,284.64867401123047
Serbia,Moravicki okrug,1995,280.70850880940753
Serbia,Nisavski okrug,1995,282.9658381144206
Serbia,Jablanicki okrug,1995,283.2175699869792
Serbia,Raski okrug,1995,281.43041737874347
Serbia,Srednjebanatski okrug,1995,284.5974349975586
Serbia,Borski okrug,1995,282.20563252766925
Serbia,Grad Beograd,1995,284.2985026041667
Serbia,Pomoravski okrug,1995,283.09619394938153
Serbia,Severnobanatski okrug,1995,284.43201446533203
Serbia,Kosovskomitrovicki okrug,1995,280.8116099039714
Serbia,Macvanski okrug,1995,284.3575185139974
Serbia,Pirotski okrug,1995,281.09591420491535
Serbia,Kolubarski okrug,1995,284.92955525716144
Serbia,Branicevski okrug,1995,283.2636324564616
Serbia,Sumadijski okrug,1995,283.69785563151044
Serbia,Juznobanatski okrug,1995,284.46646372477215
Serbia,Juznobacki okrug,1995,284.6501286824544
Serbia,Severnobacki okrug,1995,284.31957753499347
Serbia,Pcinjski okrug,1995,281.08155822753906
Serbia,Zlatiborski okrug,1995,281.6706886291504
Serbia,Kosovski okrug,1995,282.48124440511066
Serbia,Toplicki okrug,1995,281.99730428059894
Serbia,Rasinski okrug,1995,282.8544006347656
Serbia,Prizrenski okrug,1995,281.84475835164386
Serbia,Zajecarski,1995,282.77467854817706
Serbia,Sremski,1996,283.4684829711914
Serbia,Moravicki okrug,1996,280.3770497639974
Serbia,Nisavski okrug,1996,282.4687042236328
Serbia,Jablanicki okrug,1996,282.9241434733073
Serbia,Raski okrug,1996,280.946044921875
Serbia,Srednjebanatski okrug,1996,283.37096913655597
Serbia,Borski okrug,1996,281.3083902994792
Serbia,Grad Beograd,1996,283.2647120157878
Serbia,Pomoravski okrug,1996,282.27572377522785
Serbia,Severnobanatski okrug,1996,282.98915100097656
Serbia,Kosovskomitrovicki okrug,1996,280.5328623453776
Serbia,Macvanski okrug,1996,283.3257242838542
Serbia,Pirotski okrug,1996,280.88037363688153
Serbia,Kolubarski okrug,1996,283.8688252766927
Serbia,Branicevski okrug,1996,282.2318649291992
Serbia,Sumadijski okrug,1996,282.89641825358075
Serbia,Juznobanatski okrug,1996,283.3552500406901
Serbia,Juznobacki okrug,1996,283.3252766927083
Serbia,Severnobacki okrug,1996,282.8523813883464
Serbia,Pcinjski okrug,1996,280.9413375854492
Serbia,Zlatiborski okrug,1996,281.1793683369954
Serbia,Kosovski okrug,1996,282.16363525390625
Serbia,Toplicki okrug,1996,281.6531931559245
Serbia,Rasinski okrug,1996,282.29357655843097
Serbia,Prizrenski okrug,1996,281.71356709798175
Serbia,Zajecarski,1996,282.21254475911456
Serbia,Sremski,1997,283.8684908548991
Serbia,Moravicki okrug,1997,280.48660532633465
Serbia,Nisavski okrug,1997,282.63978322347003
Serbia,Jablanicki okrug,1997,282.92052968343097
Serbia,Raski okrug,1997,281.13584391276044
Serbia,Srednjebanatski okrug,1997,283.7389856974284
Serbia,Borski okrug,1997,281.7435302734375
Serbia,Grad Beograd,1997,283.68236287434894
Serbia,Pomoravski okrug,1997,282.6359151204427
Serbia,Severnobanatski okrug,1997,283.39537811279297
Serbia,Kosovskomitrovicki okrug,1997,280.6927439371745
Serbia,Macvanski okrug,1997,283.7806981404622
Serbia,Pirotski okrug,1997,280.8470280965169
Serbia,Kolubarski okrug,1997,284.25879160563153
Serbia,Branicevski okrug,1997,282.672913869222
Serbia,Sumadijski okrug,1997,283.2435836791992
Serbia,Juznobanatski okrug,1997,283.77174886067706
Serbia,Juznobacki okrug,1997,283.7306378682454
Serbia,Severnobacki okrug,1997,283.35874938964844
Serbia,Pcinjski okrug,1997,280.8818066914876
Serbia,Zlatiborski okrug,1997,281.3982925415039
Serbia,Kosovski okrug,1997,282.3030649820964
Serbia,Toplicki okrug,1997,281.7636006673177
Serbia,Rasinski okrug,1997,282.530766805013
Serbia,Prizrenski okrug,1997,281.90466054280597
Serbia,Zajecarski,1997,282.42328389485675
Serbia,Sremski,1998,284.838929494222
Serbia,Moravicki okrug,1998,281.1727040608724
Serbia,Nisavski okrug,1998,283.5632553100586
Serbia,Jablanicki okrug,1998,283.7969690958659
Serbia,Raski okrug,1998,281.9269154866536
Serbia,Srednjebanatski okrug,1998,284.84110768636066
Serbia,Borski okrug,1998,282.7578633626302
Serbia,Grad Beograd,1998,284.66259765625
Serbia,Pomoravski okrug,1998,283.61883544921875
Serbia,Severnobanatski okrug,1998,284.50709279378253
Serbia,Kosovskomitrovicki okrug,1998,281.43114471435547
Serbia,Macvanski okrug,1998,284.58807373046875
Serbia,Pirotski okrug,1998,281.76344807942706
Serbia,Kolubarski okrug,1998,285.18663533528644
Serbia,Branicevski okrug,1998,283.70519129435223
Serbia,Sumadijski okrug,1998,284.1236089070638
Serbia,Juznobanatski okrug,1998,284.8127085367839
Serbia,Juznobacki okrug,1998,284.770076751709
Serbia,Severnobacki okrug,1998,284.36592864990234
Serbia,Pcinjski okrug,1998,281.7434425354004
Serbia,Zlatiborski okrug,1998,282.0719757080078
Serbia,Kosovski okrug,1998,283.0689519246419
Serbia,Toplicki okrug,1998,282.58045959472656
Serbia,Rasinski okrug,1998,283.4333012898763
Serbia,Prizrenski okrug,1998,282.4894714355469
Serbia,Zajecarski,1998,283.3684361775716
Serbia,Sremski,1999,284.9932797749837
Serbia,Moravicki okrug,1999,281.51256306966144
Serbia,Nisavski okrug,1999,283.9670918782552
Serbia,Jablanicki okrug,1999,284.2144419352214
Serbia,Raski okrug,1999,282.2539596557617
Serbia,Srednjebanatski okrug,1999,284.9520975748698
Serbia,Borski okrug,1999,283.1631088256836
Serbia,Grad Beograd,1999,284.8075942993164
Serbia,Pomoravski okrug,1999,283.89151255289715
Serbia,Severnobanatski okrug,1999,284.54676564534503
Serbia,Kosovskomitrovicki okrug,1999,281.86236572265625
Serbia,Macvanski okrug,1999,284.71673583984375
Serbia,Pirotski okrug,1999,282.27749888102215
